# Cloud and datacenter IP ranges used for local bot-detection signals.
# Generated 2026-07-18 from https://github.com/rezmoss/cloud-provider-ip-addresses (CC0-1.0).
# Format: hexadecimal start address, a tab, then hexadecimal end address.
010c0000	010fffff
01254d62	01254d62
01740000	0175ffff
01b20100	01b201ff
01b20400	01b20bff
01b21000	01b241ff
01b24800	01b24fff
01b25600	01b256ff
01b25800	01b25fff
01b26400	01b267ff
01b2ac00	01b2aeff
01b30200	01b303ff
01b30e00	01b30fff
01b33c00	01b33dff
01b36500	01b367ff
01c9b800	01c9bdff
021a8400	021a84ff
021a9900	021a99ff
021aa600	021aa6ff
021b6100	021b61ff
021ba400	021ba4ff
021c0000	021dffff
02386400	023864ff
02391400	023915ff
023aac00	023aacff
023b1400	023b14ff
03000000	030205ff
03020800	03020fff
03023000	03023dff
03024000	030266ff
03030000	030302ff
03030500	030321ff
03040000	030404ff
03040600	030406ff
03040800	03040aff
03040c01	03040c06
03040c0b	03040c0c
03040c0f	03040c2e
03040c31	03040c50
03040d00	03040d5f
03040e00	03040e17
03040f00	03040f8f
03040f98	03042fff
03050000	03056fff
03057800	03057bff
03057e00	0305a9ff
0305ac00	0305afff
0305b400	0305c7ff
0305ca00	0320ffff
03212c00	03212fff
03218000	032d7fff
03400000	0363ffff
03650000	0373ffff
03780000	0397ffff
03a00000	03ac7fff
03ad0000	03afffff
03d00000	03efffff
03f80000	03ffffff
04900000	04b80fff
04b83800	04cb9fff
04cc0000	04e8c7ff
04e8d000	04ffffff
05016bf9	05016bf9
05085c04	05085c08
05090000	0509ffff
050a6000	050a7fff
0516d000	0516dfff
05270000	05277fff
0539d000	0539d0ff
053c0000	053c10ff
053c2000	053cffff
053d2000	053d2fff
054b8000	054bffff
054e0000	054f7fff
05539f00	05539fff
05656000	05656bff
0565d904	0565d906
0565db05	0565db08
0565dc09	0565dc09
0565de04	0565de07
0565de0a	0565de0b
05870000	0587ffff
05a10000	05a1ffff
05ac2400	05ac24ff
05ae0000	05aeffff
05afa200	05afa2ff
05afa800	05afa8ff
05afc300	05afc3ff
05afd300	05afd3ff
05b26a00	05b26aff
05b26e00	05b26eff
05b36000	05b36fff
05b52800	05b52bff
05b5e000	05b5e1ff
05b61300	05b613ff
05bc5e05	05bc5e05
05bc7e04	05bc7e0b
05bc8405	05bc8406
05bc8504	05bc8506
05bc850a	05bc850b
05bc850d	05bc850d
05bcde00	05bcdeff
05bdcf04	05bdcf05
05c40000	05c4ffff
05e7cf00	05e7cfff
05fd2000	05fd23ff
0807f400	0807f4ff
08128000	081280ff
0812ac00	0812acff
08146e00	08146eff
08152900	081529ff
08180800	08180fff
081a5e00	081a5eff
081de000	081de0ff
081ed000	081ed7ff
08216000	082167ff
08218000	082189ff
0822d000	0822dfff
0823c000	0823c7ff
08800400	088007ff
08802000	08806fff
08810000	08941fff
08942400	089427ff
08942900	089429ff
08942b00	08942bff
08944000	089617ff
08964000	089641ff
08980000	08a27fff
08a30000	08a9ffff
08b00000	08b09fff
08d00000	08d11fff
08d12400	08dfffff
08e40000	08e67fff
08e72000	08e9ffff
08ea0200	08ea11ff
08ea1400	08ebffff
09810000	09813a9f
098d0000	098dbfff
09a00000	09a0dfff
09a30000	09a3ffff
09a90000	09a9ffff
09cd0000	09cdffff
09df0000	09dfffff
09ea0000	09ebffff
0d200000	0d21ffff
0d230000	0d2bffff
0d300000	0d47ffff
0d484000	0d487fff
0d48c000	0d493fff
0d496000	0d49cfff
0d49e000	0d4ddfff
0d4e0000	0d56ffff
0d572000	0d5721ff
0d574000	0d576fff
0d578000	0d58bfff
0d58c800	0d5fffff
0d688000	0d6881ff
0d689000	0d689fff
0d68a300	0d68a3ff
0d68a900	0d68a9ff
0d68ad00	0d68ad9f
0d68c000	0d68c7ff
0d68cf00	0d68dfff
0d68f820	0d68f87f
0d68fcd0	0d68fcef
0d68fd30	0d68fd3f
0d68fe80	0d68fe8f
0d690e00	0d690eff
0d691000	0d691fff
0d692400	0d6925ff
0d692e00	0d692fff
0d693400	0d6935ff
0d693c00	0d693dff
0d694200	0d6943ff
0d694a00	0d694bff
0d696000	0d696fff
0d697258	0d6972d7
0d697400	0d69747f
0d69dd00	0d69ddff
0d69e900	0d69e9ff
0d6a0200	0d6a03ff
0d6a268e	0d6a268e
0d6a2694	0d6a2694
0d6a3603	0d6a3603
0d6a3613	0d6a3613
0d6a39b5	0d6a39b5
0d6a39c4	0d6a39c5
0d6b0300	0d6b07ff
0d6b0900	0d6b09ff
0d6b0c00	0d6b0dff
0d6b0f00	0d6b10ff
0d6b1200	0d6b13ff
0d6b1500	0d6b16ff
